Team Name,Domain / Theme,E1 Innovation,E1 Technical,E1 Presentation,E1 Impact,E1 Team Contrib,Eval 1 Total,E2 Innovation,E2 Technical,E2 Presentation,E2 Impact,E2 Team Contrib,Eval 2 Total,Final Total Score
"	Team Pulse",AI in Healthcare Technology & Biomedical Innovations,5,5,5,5,5,25,4,3,2,4,4,17,42
AyuTech,AI in Healthcare Technology & Biomedical Innovations,6,7,6,6,6,31,4,3,4,4,5,20,51
Code Brigade ,AI in Healthcare Technology & Biomedical Innovations,5,4,3,4,6,22,9,8,8,8,8,41,63
Code Fusion,AI in Healthcare Technology & Biomedical Innovations,7,6,7,7,7,34,4,3,4,5,6,22,56
FALCONS,AI in Healthcare Technology & Biomedical Innovations,8,8,8,8,8,40,3,4,3,5,3,18,58
Hack Hawks ,AI in Healthcare Technology & Biomedical Innovations,4,3,4,3,6,20,8,8,8,8,8,40,60
Hack30 protocol ,AI in Healthcare Technology & Biomedical Innovations,8,7,8,6,9,38,8,7,7,7,7,36,74
Medhackers ,AI in Healthcare Technology & Biomedical Innovations,7,7,7,8,7,36,3,2,3,4,4,16,52
QBIT ,AI in Healthcare Technology & Biomedical Innovations,6,4,5,3,3,21,6,6,6,6,6,30,51
Runtime Terror,AI in Healthcare Technology & Biomedical Innovations,5,5,5,5,5,25,4,4,6,4,4,22,47
Stark Protocol,AI in Healthcare Technology & Biomedical Innovations,9,8,8,8,8,41,6,6,7,6,9,34,75
"	Blue Sky",Electric Vehicles & Sustainable Mobility Solutions,2,3,2,2,5,14,7,7,7,7,7,35,49
CELLSENSE,Electric Vehicles & Sustainable Mobility Solutions,4,5,4,5,5,23,9,8,8,8,8,41,64
Code Red,Electric Vehicles & Sustainable Mobility Solutions,7,7,6,6,8,34,6,5,8,5,5,29,63
Ev mavericks,Electric Vehicles & Sustainable Mobility Solutions,7,6,7,4,7,31,7,7,6,6,7,33,64
Logic looters,Electric Vehicles & Sustainable Mobility Solutions,5,8,6,4,8,31,6,6,6,5,5,28,59
SparkX,Electric Vehicles & Sustainable Mobility Solutions,9,8,9,7,8,41,7,7,7,6,7,34,75
Vidthyuth ,Electric Vehicles & Sustainable Mobility Solutions,8,8,8,8,9,41,9,9,7,8,8,41,82
CORTEX,Open Innovation,10,8,9,8,8,43,10,7,6,7,10,40,83
DOTENV,Open Innovation,9,9,8,9,9,44,4,5,6,7,6,28,72
ElectraCore,Open Innovation,6,6,6,6,5,29,3,3,4,3,6,19,48
HackJack,Open Innovation,7,6,7,7,7,34,5,5,4,4,6,24,58
Macro,Open Innovation,6,3,6,5,6,26,8,7,6,7,7,35,61
Sprints,Open Innovation,7,6,5,4,7,29,8,9,9,9,7,44,71
Tactical Titans,Open Innovation,8,7,8,8,8,39,7,5,6,7,8,33,73
Team DevCore,Open Innovation,8,7,8,7,7,37,9,9,9,8,9,44,73
Team LexAI,Open Innovation,3,4,4,4,3,18,9,8,8,7,8,40,73
Team Phantom,Open Innovation,9,7,9,9,8,42,8,8,8,8,8,40,73
Zeronix,Open Innovation,7,8,7,7,7,36,7,7,7,7,7,35,73
Bit battle,Rural Development & Digital Inclusion Technologies,5,5,4,7,6,27,6,5,5,5,6,27,73
Medmesh,Rural Development & Digital Inclusion Technologies,5,4,5,6,4,24,8,8,8,8,8,40,73
Team Atom,Rural Development & Digital Inclusion Technologies,7,8,7,7,7,36,9,9,9,10,10,47,73
FARMERON,Smart Agriculture & Precision Farming Technologies,7,8,7,7,7,36,7,6,5,7,9,34,73
Hecktronics,Smart Agriculture & Precision Farming Technologies,8,9,7,9,8,41,3,5,3,3,5,19,73
Tech Wizards ,Smart Agriculture & Precision Farming Technologies,3,4,7,4,7,25,9,9,9,9,8,44,73
DEBUG DIVAS,Women Safety & Assistive Technologies,3,3,4,5,2,17,7,7,7,7,7,35,73
IV(4) Core,Women Safety & Assistive Technologies,6,6,6,6,6,30,9,9,8,8,10,44,73
Quantum coders,Women Safety & Assistive Technologies,6,6,7,6,6,31,9,9,8,6,7,39,73
The Protectors,Women Safety & Assistive Technologies,7,6,10,8,8,39,9,8,8,8,8,41,73
